Month,Borough,SaleVol,AvgPrice
2019-06,City of London,15,761526
2019-07,City of London,13,756407
2019-08,City of London,16,813770
2019-09,City of London,11,810455
2019-10,City of London,4,826227
2019-11,City of London,4,776894
2019-12,City of London,10,737275
2020-01,City of London,7,774386
2020-02,City of London,18,797666
2020-03,City of London,15,833060
2020-06,City of London,5,871203
2020-07,City of London,5,786020
2020-08,City of London,3,796283
2020-09,City of London,4,793046
2019-06,Barking & Dagenham,125,293889
2019-07,Barking & Dagenham,178,297426
2019-08,Barking & Dagenham,185,299421
2019-09,Barking & Dagenham,136,304778
2019-10,Barking & Dagenham,135,304579
2019-11,Barking & Dagenham,139,306390
2019-12,Barking & Dagenham,105,301283
2020-01,Barking & Dagenham,127,303109
2020-02,Barking & Dagenham,128,302613
2020-03,Barking & Dagenham,95,301367
2020-06,Barking & Dagenham,47,300013
2020-07,Barking & Dagenham,46,304737
2020-08,Barking & Dagenham,91,305534
2020-09,Barking & Dagenham,79,303389
2019-06,Barnet,388,512694
2019-07,Barnet,324,514668
2019-08,Barnet,366,528577
2019-09,Barnet,268,526670
2019-10,Barnet,285,525678
2019-11,Barnet,290,522639
2019-12,Barnet,232,519306
2020-01,Barnet,231,521263
2020-02,Barnet,249,515963
2020-03,Barnet,251,522788
2020-06,Barnet,104,517901
2020-07,Barnet,66,520120
2020-08,Barnet,158,523380
2020-09,Barnet,194,535340
2019-06,Bexley,241,339324
2019-07,Bexley,271,338346
2019-08,Bexley,300,337523
2019-09,Bexley,268,333340
2019-10,Bexley,267,332920
2019-11,Bexley,262,333657
2019-12,Bexley,221,336302
2020-01,Bexley,202,335659
2020-02,Bexley,251,338038
2020-03,Bexley,256,338945
2020-06,Bexley,96,340975
2020-07,Bexley,96,344540
2020-08,Bexley,174,348110
2020-09,Bexley,191,343470
2019-06,Brent,106,474821
2019-07,Brent,144,473849
2019-08,Brent,135,488784
2019-09,Brent,139,501533
2019-10,Brent,136,494770
2019-11,Brent,242,432188
2019-12,Brent,126,427126
2020-01,Brent,137,427450
2020-02,Brent,127,469477
2020-03,Brent,131,465071
2020-06,Brent,49,483261
2020-07,Brent,55,481805
2020-08,Brent,64,496931
2020-09,Brent,105,522324
2019-06,Bromley,346,430002
2019-07,Bromley,490,434257
2019-08,Bromley,470,442189
2019-09,Bromley,371,441058
2019-10,Bromley,435,439178
2019-11,Bromley,402,436080
2019-12,Bromley,348,438682
2020-01,Bromley,368,435664
2020-02,Bromley,353,435715
2020-03,Bromley,366,432671
2020-06,Bromley,127,426641
2020-07,Bromley,152,431093
2020-08,Bromley,246,439469
2020-09,Bromley,319,445219
2019-06,Camden,153,871957
2019-07,Camden,166,890288
2019-08,Camden,124,863171
2019-09,Camden,128,838170
2019-10,Camden,137,804713
2019-11,Camden,128,825336
2019-12,Camden,116,807124
2020-01,Camden,167,830254
2020-02,Camden,141,824676
2020-03,Camden,146,850500
2020-06,Camden,85,842400
2020-07,Camden,58,807213
2020-08,Camden,73,825420
2020-09,Camden,127,813155
2019-06,Greenwich,215,388252
2019-07,Greenwich,289,397828
2019-08,Greenwich,333,396858
2019-09,Greenwich,303,403730
2019-10,Greenwich,266,401559
2019-11,Greenwich,271,405337
2019-12,Greenwich,249,398024
2020-01,Greenwich,203,398034
2020-02,Greenwich,244,397291
2020-03,Greenwich,215,396185
2020-06,Greenwich,103,386412
2020-07,Greenwich,72,386969
2020-08,Greenwich,110,390546
2020-09,Greenwich,151,406033
2019-06,Hackney,114,546344
2019-07,Hackney,342,555779
2019-08,Hackney,219,567269
2019-09,Hackney,152,573270
2019-10,Hackney,178,566979
2019-11,Hackney,182,559758
2019-12,Hackney,249,552785
2020-01,Hackney,168,557143
2020-02,Hackney,160,574677
2020-03,Hackney,131,584269
2020-06,Hackney,60,569782
2020-07,Hackney,56,584202
2020-08,Hackney,91,580289
2020-09,Hackney,113,622731
2019-06,Hammersmith & Fulham,128,713137
2019-07,Hammersmith & Fulham,189,725253
2019-08,Hammersmith & Fulham,184,729659
2019-09,Hammersmith & Fulham,149,735538
2019-10,Hammersmith & Fulham,195,719932
2019-11,Hammersmith & Fulham,152,719751
2019-12,Hammersmith & Fulham,137,728698
2020-01,Hammersmith & Fulham,173,726097
2020-02,Hammersmith & Fulham,143,740924
2020-03,Hammersmith & Fulham,177,719421
2020-06,Hammersmith & Fulham,99,678986
2020-07,Hammersmith & Fulham,79,720476
2020-08,Hammersmith & Fulham,72,737986
2020-09,Hammersmith & Fulham,116,779570
2019-06,Harrow,202,447719
2019-07,Harrow,180,446095
2019-08,Harrow,208,450373
2019-09,Harrow,184,453155
2019-10,Harrow,175,453783
2019-11,Harrow,200,450109
2019-12,Harrow,166,446900
2020-01,Harrow,179,447473
2020-02,Harrow,150,451476
2020-03,Harrow,145,452013
2020-06,Harrow,62,441407
2020-07,Harrow,57,449971
2020-08,Harrow,94,458999
2020-09,Harrow,104,460215
2019-06,Havering,253,365336
2019-07,Havering,285,367679
2019-08,Havering,312,367502
2019-09,Havering,275,366447
2019-10,Havering,285,367102
2019-11,Havering,313,365861
2019-12,Havering,249,365886
2020-01,Havering,258,361797
2020-02,Havering,265,364331
2020-03,Havering,268,364991
2020-06,Havering,124,371647
2020-07,Havering,137,374940
2020-08,Havering,194,376116
2020-09,Havering,196,377665
2019-06,Hillingdon,296,395982
2019-07,Hillingdon,228,398547
2019-08,Hillingdon,266,397385
2019-09,Hillingdon,251,403945
2019-10,Hillingdon,281,403300
2019-11,Hillingdon,239,407706
2019-12,Hillingdon,217,404843
2020-01,Hillingdon,240,406602
2020-02,Hillingdon,212,405355
2020-03,Hillingdon,191,409830
2020-06,Hillingdon,86,405380
2020-07,Hillingdon,96,410913
2020-08,Hillingdon,121,410087
2020-09,Hillingdon,171,410984
2019-06,Lambeth,311,503721
2019-07,Lambeth,331,510045
2019-08,Lambeth,327,519956
2019-09,Lambeth,280,520403
2019-10,Lambeth,248,515947
2019-11,Lambeth,253,519410
2019-12,Lambeth,243,521705
2020-01,Lambeth,205,524079
2020-02,Lambeth,254,520724
2020-03,Lambeth,253,517773
2020-06,Lambeth,127,519783
2020-07,Lambeth,117,537600
2020-08,Lambeth,151,540084
2020-09,Lambeth,177,552828
2019-06,Lewisham,241,405009
2019-07,Lewisham,302,410983
2019-08,Lewisham,322,416885
2019-09,Lewisham,273,420341
2019-10,Lewisham,252,421258
2019-11,Lewisham,273,415893
2019-12,Lewisham,199,413462
2020-01,Lewisham,221,407384
2020-02,Lewisham,224,410794
2020-03,Lewisham,219,411928
2020-06,Lewisham,88,425365
2020-07,Lewisham,109,423357
2020-08,Lewisham,150,420804
2020-09,Lewisham,192,432541
2019-06,Newham,217,359953
2019-07,Newham,216,359106
2019-08,Newham,165,361920
2019-09,Newham,168,368687
2019-10,Newham,169,369972
2019-11,Newham,176,363114
2019-12,Newham,112,360934
2020-01,Newham,129,367037
2020-02,Newham,112,375481
2020-03,Newham,125,375513
2020-06,Newham,59,372674
2020-07,Newham,64,375531
2020-08,Newham,73,379035
2020-09,Newham,83,382662
2019-06,Redbridge,163,408514
2019-07,Redbridge,188,414968
2019-08,Redbridge,265,421319
2019-09,Redbridge,241,414268
2019-10,Redbridge,260,411874
2019-11,Redbridge,199,413882
2019-12,Redbridge,175,424631
2020-01,Redbridge,182,420884
2020-02,Redbridge,194,417591
2020-03,Redbridge,165,420577
2020-06,Redbridge,73,414207
2020-07,Redbridge,70,417238
2020-08,Redbridge,141,423606
2020-09,Redbridge,168,432138
2019-06,Richmond upon Thames,192,652859
2019-07,Richmond upon Thames,244,657619
2019-08,Richmond upon Thames,262,657974
2019-09,Richmond upon Thames,212,648147
2019-10,Richmond upon Thames,218,643769
2019-11,Richmond upon Thames,240,650949
2019-12,Richmond upon Thames,195,655378
2020-01,Richmond upon Thames,201,663189
2020-02,Richmond upon Thames,189,658329
2020-03,Richmond upon Thames,180,658720
2020-06,Richmond upon Thames,79,697610
2020-07,Richmond upon Thames,79,695495
2020-08,Richmond upon Thames,107,700187
2020-09,Richmond upon Thames,185,689675
2019-06,Sutton,205,371680
2019-07,Sutton,206,373534
2019-08,Sutton,276,368908
2019-09,Sutton,217,372899
2019-10,Sutton,207,369917
2019-11,Sutton,220,374775
2019-12,Sutton,195,372581
2020-01,Sutton,202,371406
2020-02,Sutton,180,373087
2020-03,Sutton,146,374398
2020-06,Sutton,64,371099
2020-07,Sutton,84,372406
2020-08,Sutton,138,379385
2020-09,Sutton,143,386214
2019-06,Wandsworth,358,574833
2019-07,Wandsworth,481,585174
2019-08,Wandsworth,478,592251
2019-09,Wandsworth,401,605559
2019-10,Wandsworth,352,600642
2019-11,Wandsworth,381,601650
2019-12,Wandsworth,349,605560
2020-01,Wandsworth,333,605362
2020-02,Wandsworth,259,610466
2020-03,Wandsworth,321,611134
2020-06,Wandsworth,135,581629
2020-07,Wandsworth,131,591528
2020-08,Wandsworth,201,612112
2020-09,Wandsworth,276,615803
2019-06,Westminster,168,995108
2019-07,Westminster,176,948507
2019-08,Westminster,158,905951
2019-09,Westminster,173,922687
2019-10,Westminster,168,927735
2019-11,Westminster,178,955265
2019-12,Westminster,192,960943
2020-01,Westminster,181,1009356
2020-02,Westminster,137,1009514
2020-03,Westminster,169,996800
2020-06,Westminster,88,962093
2020-07,Westminster,58,916653
2020-08,Westminster,77,965242
2020-09,Westminster,101,925004
